,gen_loss,disc_loss
0,"tf.Tensor(1.8026358, shape=(), dtype=float32)","tf.Tensor(2.4972205, shape=(), dtype=float32)"
1,"tf.Tensor(1.0381091, shape=(), dtype=float32)","tf.Tensor(0.27244455, shape=(), dtype=float32)"
2,"tf.Tensor(1.108153, shape=(), dtype=float32)","tf.Tensor(0.118533015, shape=(), dtype=float32)"
3,"tf.Tensor(1.1495343, shape=(), dtype=float32)","tf.Tensor(0.050046217, shape=(), dtype=float32)"
4,"tf.Tensor(1.5936606, shape=(), dtype=float32)","tf.Tensor(0.051960137, shape=(), dtype=float32)"
5,"tf.Tensor(1.5537256, shape=(), dtype=float32)","tf.Tensor(0.07653081, shape=(), dtype=float32)"
6,"tf.Tensor(1.5146677, shape=(), dtype=float32)","tf.Tensor(0.05089122, shape=(), dtype=float32)"
7,"tf.Tensor(1.3321675, shape=(), dtype=float32)","tf.Tensor(0.039418183, shape=(), dtype=float32)"
8,"tf.Tensor(1.469932, shape=(), dtype=float32)","tf.Tensor(0.028059002, shape=(), dtype=float32)"
9,"tf.Tensor(1.5260235, shape=(), dtype=float32)","tf.Tensor(0.030928884, shape=(), dtype=float32)"
10,"tf.Tensor(1.549876, shape=(), dtype=float32)","tf.Tensor(0.039433356, shape=(), dtype=float32)"
11,"tf.Tensor(1.5936905, shape=(), dtype=float32)","tf.Tensor(0.0737831, shape=(), dtype=float32)"
12,"tf.Tensor(1.2945334, shape=(), dtype=float32)","tf.Tensor(0.05662843, shape=(), dtype=float32)"
13,"tf.Tensor(1.4111884, shape=(), dtype=float32)","tf.Tensor(0.23604396, shape=(), dtype=float32)"
14,"tf.Tensor(1.1042914, shape=(), dtype=float32)","tf.Tensor(0.09273541, shape=(), dtype=float32)"
15,"tf.Tensor(1.2047555, shape=(), dtype=float32)","tf.Tensor(0.07136071, shape=(), dtype=float32)"
16,"tf.Tensor(1.219775, shape=(), dtype=float32)","tf.Tensor(0.085482925, shape=(), dtype=float32)"
17,"tf.Tensor(1.2181307, shape=(), dtype=float32)","tf.Tensor(0.104390346, shape=(), dtype=float32)"
18,"tf.Tensor(1.1009537, shape=(), dtype=float32)","tf.Tensor(0.11372117, shape=(), dtype=float32)"
19,"tf.Tensor(1.0056298, shape=(), dtype=float32)","tf.Tensor(0.13512212, shape=(), dtype=float32)"
20,"tf.Tensor(0.90705603, shape=(), dtype=float32)","tf.Tensor(0.14870541, shape=(), dtype=float32)"
21,"tf.Tensor(0.9014127, shape=(), dtype=float32)","tf.Tensor(0.15276009, shape=(), dtype=float32)"
22,"tf.Tensor(0.8583236, shape=(), dtype=float32)","tf.Tensor(0.16941646, shape=(), dtype=float32)"
23,"tf.Tensor(0.8136376, shape=(), dtype=float32)","tf.Tensor(0.18817139, shape=(), dtype=float32)"
24,"tf.Tensor(0.7687252, shape=(), dtype=float32)","tf.Tensor(0.1924146, shape=(), dtype=float32)"
25,"tf.Tensor(0.66768616, shape=(), dtype=float32)","tf.Tensor(0.21658136, shape=(), dtype=float32)"
26,"tf.Tensor(0.6838038, shape=(), dtype=float32)","tf.Tensor(0.21560301, shape=(), dtype=float32)"
27,"tf.Tensor(0.62253183, shape=(), dtype=float32)","tf.Tensor(0.23364909, shape=(), dtype=float32)"
28,"tf.Tensor(0.5949242, shape=(), dtype=float32)","tf.Tensor(0.23596896, shape=(), dtype=float32)"
29,"tf.Tensor(0.5607491, shape=(), dtype=float32)","tf.Tensor(0.24921422, shape=(), dtype=float32)"
30,"tf.Tensor(0.542155, shape=(), dtype=float32)","tf.Tensor(0.26167113, shape=(), dtype=float32)"
31,"tf.Tensor(0.54274964, shape=(), dtype=float32)","tf.Tensor(0.2665039, shape=(), dtype=float32)"
32,"tf.Tensor(0.520905, shape=(), dtype=float32)","tf.Tensor(0.27156287, shape=(), dtype=float32)"
33,"tf.Tensor(0.5216477, shape=(), dtype=float32)","tf.Tensor(0.27621806, shape=(), dtype=float32)"
34,"tf.Tensor(0.5436786, shape=(), dtype=float32)","tf.Tensor(0.280371, shape=(), dtype=float32)"
35,"tf.Tensor(0.53018785, shape=(), dtype=float32)","tf.Tensor(0.27388775, shape=(), dtype=float32)"
36,"tf.Tensor(0.50527704, shape=(), dtype=float32)","tf.Tensor(0.2930365, shape=(), dtype=float32)"
37,"tf.Tensor(0.52599686, shape=(), dtype=float32)","tf.Tensor(0.30485666, shape=(), dtype=float32)"
38,"tf.Tensor(0.4425749, shape=(), dtype=float32)","tf.Tensor(0.31509024, shape=(), dtype=float32)"
39,"tf.Tensor(0.3987562, shape=(), dtype=float32)","tf.Tensor(0.32393396, shape=(), dtype=float32)"
40,"tf.Tensor(0.39375594, shape=(), dtype=float32)","tf.Tensor(0.32643348, shape=(), dtype=float32)"
41,"tf.Tensor(0.4223382, shape=(), dtype=float32)","tf.Tensor(0.31031832, shape=(), dtype=float32)"
42,"tf.Tensor(0.3983454, shape=(), dtype=float32)","tf.Tensor(0.33055824, shape=(), dtype=float32)"
43,"tf.Tensor(0.39288706, shape=(), dtype=float32)","tf.Tensor(0.31896034, shape=(), dtype=float32)"
44,"tf.Tensor(0.40608716, shape=(), dtype=float32)","tf.Tensor(0.3176421, shape=(), dtype=float32)"
45,"tf.Tensor(0.41418168, shape=(), dtype=float32)","tf.Tensor(0.3153302, shape=(), dtype=float32)"
46,"tf.Tensor(0.38304535, shape=(), dtype=float32)","tf.Tensor(0.32939819, shape=(), dtype=float32)"
47,"tf.Tensor(0.3786392, shape=(), dtype=float32)","tf.Tensor(0.3287049, shape=(), dtype=float32)"
48,"tf.Tensor(0.38568553, shape=(), dtype=float32)","tf.Tensor(0.32742137, shape=(), dtype=float32)"
49,"tf.Tensor(0.3821981, shape=(), dtype=float32)","tf.Tensor(0.32627314, shape=(), dtype=float32)"
